,0,1,2,3,0,Order
79,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
80,tensor(0.0725),tensor(0.),tensor(0.),tensor(0.),0.01811741,14
81,tensor(0.),tensor(4.4872),tensor(2.7681),tensor(4.7614),3.0041802,14
82,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
83,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
84,tensor(0.),tensor(0.),tensor(0.8845),tensor(0.),0.22111285,14
85,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
86,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
87,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
88,tensor(0.),tensor(0.0904),tensor(0.),tensor(0.),0.022592407,14
89,tensor(0.),tensor(0.),tensor(0.4579),tensor(0.),0.11448608,14
90,tensor(0.),tensor(3.9372),tensor(2.3503),tensor(2.2082),2.1239307,14
91,tensor(1.3251),tensor(0.),tensor(0.),tensor(0.),0.33127394,14
92,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
93,tensor(0.),tensor(0.),tensor(0.1166),tensor(0.),0.029151874,14
94,tensor(0.),tensor(1.5387),tensor(1.1269),tensor(0.),0.6664051,14
95,tensor(0.),tensor(0.),tensor(0.),tensor(1.2705),0.31761917,14
96,tensor(0.),tensor(0.),tensor(0.),tensor(1.0273),0.2568252,14
97,tensor(0.),tensor(4.0988),tensor(3.0576),tensor(2.8206),2.4942522,14
98,tensor(0.),tensor(1.2709),tensor(2.1490),tensor(2.3529),1.4431813,14
99,tensor(1.9640),tensor(0.),tensor(0.),tensor(0.),0.49099097,14
100,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
101,tensor(0.7409),tensor(0.),tensor(0.),tensor(0.),0.18521447,14
102,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
103,tensor(0.4069),tensor(0.),tensor(0.6576),tensor(0.),0.26611617,14
104,tensor(1.0046),tensor(0.),tensor(1.3502),tensor(0.),0.58869314,14
105,tensor(0.),tensor(1.5357),tensor(0.4904),tensor(0.),0.50652033,14
106,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
107,tensor(0.0662),tensor(0.),tensor(0.),tensor(3.0674),0.7833965,14
108,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
109,tensor(2.2930),tensor(0.),tensor(0.),tensor(0.),0.57324994,14
110,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
111,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
112,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
113,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
114,tensor(0.),tensor(0.),tensor(0.),tensor(0.4963),0.124077834,14
115,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
116,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
117,tensor(0.),tensor(1.8530),tensor(0.6537),tensor(0.5056),0.7530686,14
118,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
119,tensor(0.),tensor(0.),tensor(0.),tensor(0.),0.0,14
